Település;Rang;Térség;Terület;Lakosság
Tiszabecs;nagyközség;Fehérgyarmati;1714;1031
Tiszabercel;község;Ibrány-Nagyhalászi;3138;1903
Tiszabezdéd;község;Záhonyi;1861;1905
Tiszacsécse;község;Fehérgyarmati;482;226
Tiszadada;község;Tiszavasvári;4875;2240
Tiszadob;nagyközség;Tiszavasvári;8261;2965
Tiszaeszlár;község;Tiszavasvári;5456;2612
Tiszakanyár;község;Kisvárdai;1551;1625
Tiszakerecseny;község;Vásárosnaményi;2387;860
Tiszakóród;község;Fehérgyarmati;1669;702
Tiszalök;város;Tiszavasvári;5872;5567
Tiszamogyorós;község;Záhonyi;1025;646
Tiszanagyfalu;község;Tiszavasvári;2705;1807
Tiszarád;község;Ibrány-Nagyhalászi;923;621
Tiszaszalka;község;Vásárosnaményi;1495;814
Tiszaszentmárton;község;Záhonyi;1455;1121
Tiszatelek;község;Ibrány-Nagyhalászi;3377;1383
Tiszavasvári;város;Tiszavasvári;12659;12619
Tiszavid;község;Vásárosnaményi;1075;483
Tisztaberek;község;Fehérgyarmati;1822;608
Tivadar;község;Vásárosnaményi;480;190
Tornyospálca;község;Kisvárdai;4365;2496
Tunyogmatolcs;község;Fehérgyarmati;2628;2409
Túristvándi;község;Fehérgyarmati;1522;680
Túrricse;község;Fehérgyarmati;1299;601
Tuzsér;nagyközség;Záhonyi;1552;3286
Tyukod;nagyközség;Csengeri;6218;1863
Újdombrád;község;Kisvárdai;1078;680
Újfehértó;város;Nagykállói;14088;13116
Újkenéz;község;Kisvárdai;969;1026
Ura;község;Csengeri;3234;616
Uszka;község;Fehérgyarmati;736;392
Vaja;város;Mátészalkai;2861;3566
Vállaj;község;Mátészalkai;2227;881
Vámosatya;község;Vásárosnaményi;2429;548
Vámosoroszi;község;Fehérgyarmati;1316;499
Vásárosnamény;város;Vásárosnaményi;6566;8707
Vasmegyer;község;Ibrány-Nagyhalászi;2273;1667
Záhony;város;Záhonyi;687;4071
Zajta;község;Fehérgyarmati;917;445
Zsarolyán;község;Fehérgyarmati;639;389
Zsurk;község;Záhonyi;1539;704
